	index	source	text	length	er_spaced
0	0.0	kyomeishusei2015.00001.1.1：	 脩相思、毌相f忘。		
1	1.0	kyomeishusei2015.00001.1.2：	 常樂未a央。		
2	2.0	kyomeishusei2015.00002.1.1：	 脩相思、願毌相f忘。		
3	3.0	kyomeishusei2015.00002.1.2：	 大樂未a央。		
4	4.0	kyomeishusei2015.00003.1.1：	 安樂未a央。		
5	5.0	kyomeishusei2015.00003.1.2：	 脩相思、願毌相f忘。		
6	6.0	kyomeishusei2015.00004.1.1：	 常樂未a央。		
7	7.0	kyomeishusei2015.00004.1.2：	 脩相思、願毌相f忘。		
8	8.0	kyomeishusei2015.00005.1.1：	 大樂未a央。		
9	9.0	kyomeishusei2015.00005.1.2：	 長相思、願毌相f忘。		
10	10.0	kyomeishusei2015.00006.1.1：	 道路遼遠。		
11	11.0	kyomeishusei2015.00006.1.2：	 中有關f梁。		
12	12.0	kyomeishusei2015.00006.1.3：	 鑑不隱請。		
13	13.0	kyomeishusei2015.00006.1.4：	 脩毋相f忘。		
14	14.0	kyomeishusei2015.00007.1.1：	 大樂貴富毌c極。		
15	15.0	kyomeishusei2015.00007.1.2：	 與天地相d翼。		
16	16.0	kyomeishusei2015.00008.1.1：	 大樂貴d富。		
17	17.0	kyomeishusei2015.00008.1.2：	 千秋萬歲、冝酒d食。		
18	18.0	kyomeishusei2015.00009.1.1：	 大樂貴d富。		
19	19.0	kyomeishusei2015.00009.1.2：	 得所喜。		
20	20.0	kyomeishusei2015.00009.1.3：	 千秋萬歲、冝酒d食。		
21	21.0	kyomeishusei2015.00010.1.1：	 大樂貴d富。		
22	22.0	kyomeishusei2015.00010.1.2：	 得所好。		
23	23.0	kyomeishusei2015.00010.1.3：	 千秋萬歲、延年益a壽。		
24	24.0	kyomeishusei2015.00011.1.1：	 愁思悲、願見怨君不f說。		
25	25.0	kyomeishusei2015.00011.1.2：	 相思願毌f絕。		
26	26.0	kyomeishusei2015.00012.1.1：	 愁思曾□、慾見毌f說。		
27	27.0	kyomeishusei2015.00012.1.2：	 相思願毌f絕。		
28	28.0	kyomeishusei2015.00013.1.1：	 愁思曾、愿見忠君不f說。		
29	29.0	kyomeishusei2015.00013.1.2：	 相思願毌f絕。		
30	30.0	kyomeishusei2015.00014.1.1：	 内請質以昭明。		
31	31.0	kyomeishusei2015.00014.1.2：	 光輝象夫日a月。		
32	32.0	kyomeishusei2015.00014.1.3：	 心忽穆而願忠。		
33	33.0	kyomeishusei2015.00014.1.4：	 然壅塞而不n泄。		
34	34.0	kyomeishusei2015.00014.1.5：	 懷縻美之窮皚。		
35	35.0	kyomeishusei2015.00014.1.6：	 外承驩之可f說。		
36	36.0	kyomeishusei2015.00014.1.7：	 慕窔佻之靈景。		
37	37.0	kyomeishusei2015.00014.1.8：	 願永思而毋f絕。		
38	38.0	kyomeishusei2015.00015.1.1：	 内請質以昭明。		
