kyomeishusei2015.00001.1.1： 脩相思、毌相a忘。
kyomeishusei2015.00001.1.2： 常樂未a央。
kyomeishusei2015.00002.1.1： 脩相思、願毌相a忘。
kyomeishusei2015.00002.1.2： 大樂未a央。
kyomeishusei2015.00003.1.1： 安樂未a央。
kyomeishusei2015.00003.1.2： 脩相思、願毌相a忘。
kyomeishusei2015.00004.1.1： 常樂未a央。
kyomeishusei2015.00004.1.2： 脩相思、願毌相a忘。
kyomeishusei2015.00005.1.1： 大樂未a央。
kyomeishusei2015.00005.1.2： 長相思、願毌相a忘。
kyomeishusei2015.00006.1.1： 道路遼遠、中有關a梁。
kyomeishusei2015.00006.1.2： 鑑不隱請、脩毋相a忘。
kyomeishusei2015.00007.1.1： 大樂貴富毌a極。
kyomeishusei2015.00007.1.2： 與天地相a翼。
kyomeishusei2015.00008.1.1： 大樂貴a富。
kyomeishusei2015.00008.1.2： 千秋萬歲、冝酒a食。
kyomeishusei2015.00009.1.1： 大樂貴a富。
kyomeishusei2015.00009.1.2： 得所a喜。
kyomeishusei2015.00009.1.3： 千秋萬歲、冝酒a食。
kyomeishusei2015.00010.1.1： 大樂貴a富。
kyomeishusei2015.00010.1.2： 得所a好。
kyomeishusei2015.00010.1.3： 千秋萬歲、延年益a壽。
kyomeishusei2015.00011.1.1： 愁思悲、願見怨君不a說。
kyomeishusei2015.00011.1.2： 相思願毌a絕。
kyomeishusei2015.00012.1.1： 愁思曾□、慾見毌a說。
kyomeishusei2015.00012.1.2： 相思願毌a絕。
kyomeishusei2015.00013.1.1： 愁思曾、愿見忠君不a說。
kyomeishusei2015.00013.1.2： 相思願毌a絕。
kyomeishusei2015.00014.1.1： 内請質以昭明、光輝象夫日a月。
kyomeishusei2015.00014.1.2： 心忽穆而願忠、然壅塞而不a泄。
kyomeishusei2015.00014.1.3： 懷縻美之窮皚、外承驩之可a說。
kyomeishusei2015.00014.1.4： 慕窔佻之靈景、願永思而毋a絕。
kyomeishusei2015.00015.1.1： 内請質以昭明、光輝象夫日a月。
kyomeishusei2015.00015.1.2： 心忽穆而願忠、然壅塞而不a徹。
kyomeishusei2015.00016.1.1： 絜精白而事君、惌沄驩之弇a明。
kyomeishusei2015.00016.1.2： 彶玄錫之流澤、恐疎遠而日a忘。
kyomeishusei2015.00016.1.3： 懷糜美之窮皚、外承驩之可a說。
kyomeishusei2015.00016.1.4： 慕窔佻之靈景、願永思而毋a絕。
kyomeishusei2015.00017.1.1： 常樂未a央。
kyomeishusei2015.00017.1.2： 長毌相a忘。
kyomeishusei2015.00018.1.1： 長樂未a央。
kyomeishusei2015.00018.1.2： 長毌相a忘。
kyomeishusei2015.00019.1.1： 長樂未a央。
kyomeishusei2015.00019.1.2： 願毌相a忘。
kyomeishusei2015.00020.1.1： 願長相思、久毌見a忘。
kyomeishusei2015.00021.1.1： 願長相思、幸毌見a忘。
kyomeishusei2015.00022.1.1： 心思美人、毋忘大a王。
kyomeishusei2015.00023.1.1： 心思君a王。
kyomeishusei2015.00023.1.2： 天上見a長。
kyomeishusei2015.00024.1.1： 天上見a王。
kyomeishusei2015.00024.1.2： 長毌見a忘。
kyomeishusei2015.00025.1.1： 心思君a王。
kyomeishusei2015.00025.1.2： 長樂未a央。
kyomeishusei2015.00026.1.1： 如日之a光。
kyomeishusei2015.00026.1.2： 所居君a王。
kyomeishusei2015.00027.1.1： 長毌相a忘。
kyomeishusei2015.00027.1.2： 時來何a傷。
kyomeishusei2015.00028.1.1： 長勿相a忘。
kyomeishusei2015.00028.1.2： 君來何a傷。
kyomeishusei2015.00029.1.1： 與天相壽、與地相a長。
kyomeishusei2015.00029.1.2： 富貴如言、長毋相a忘。
kyomeishusei2015.00030.1.1： 與天無極、與地相a長。
kyomeishusei2015.00030.1.2： 驩樂如言、長毋相a忘。
kyomeishusei2015.00031.1.1： 與天無極、與地相a長。
kyomeishusei2015.00031.1.2： 史人富貴、長毋相a忘。
kyomeishusei2015.00032.1.1： 與天無極、與美相a長。
kyomeishusei2015.00032.1.2： 驩樂如志、長毋相a忘。
kyomeishusei2015.00033.1.1： 與美相a長。
kyomeishusei2015.00033.1.2： 常貴未a央。
kyomeishusei2015.00034.1.1： 玄金之a淸。
kyomeishusei2015.00034.1.2： 可見信a誠。
kyomeishusei2015.00035.1.1： 長相思、毋相a忘。
kyomeishusei2015.00035.1.2： 常貴富、樂未a央。
kyomeishusei2015.00036.1.1： 常相思、毋相a忘。
kyomeishusei2015.00036.1.2： 常貴富、樂未a央。
kyomeishusei2015.00037.1.1： 常相思、不相a忘。
kyomeishusei2015.00037.1.2： 常貴富、樂未a央。
kyomeishusei2015.00038.1.1： 常相思、勿相a忘。
