kyomeishusei2015.00001.1.1： 脩相思、毌相忘。
kyomeishusei2015.00001.1.2： 常樂未a(iɑŋ)央。
kyomeishusei2015.00002.1.1： 脩相思、願毌相忘。
kyomeishusei2015.00002.1.2： 大樂未a(iɑŋ)央。
kyomeishusei2015.00003.1.1： 安樂未央。
kyomeishusei2015.00003.1.2： 脩相思、願毌相a(uɑŋ)忘。
kyomeishusei2015.00004.1.1： 常樂未央。
kyomeishusei2015.00004.1.2： 脩相思、願毌相a(uɑŋ)忘。
kyomeishusei2015.00005.1.1： 大樂未央。
kyomeishusei2015.00005.1.2： 長相思、願毌相a(uɑŋ)忘。
kyomeishusei2015.00006.1.1： 道路遼遠、中有關梁。
kyomeishusei2015.00006.1.2： 鑑不隱請、脩毋相a(uɑŋ)忘。
kyomeishusei2015.00007.1.1： 大樂貴富毌極。
kyomeishusei2015.00007.1.2： 與天地相a(ək)翼。
kyomeishusei2015.00008.1.1： 大樂貴富。
kyomeishusei2015.00008.1.2： 千秋萬歲、冝酒a(iə)食。
kyomeishusei2015.00009.1.1： 大樂貴富。
kyomeishusei2015.00009.1.2： 得所a(iə)喜。
kyomeishusei2015.00009.1.3： 千秋萬歲、冝酒食。
kyomeishusei2015.00010.1.1： 大樂貴富。
kyomeishusei2015.00010.1.2： 得所a(ou)好。
kyomeishusei2015.00010.1.3： 千秋萬歲、延年益壽。
kyomeishusei2015.00011.1.1： 愁思悲、願見怨君不說。
kyomeishusei2015.00011.1.2： 相思願毌a(iat)絕。
kyomeishusei2015.00012.1.1： 愁思曾□、慾見毌說。
kyomeishusei2015.00012.1.2： 相思願毌a(iat)絕。
kyomeishusei2015.00013.1.1： 愁思曾、愿見忠君不說。
kyomeishusei2015.00013.1.2： 相思願毌a(iat)絕。
kyomeishusei2015.00014.1.1： 内請質以昭明、光輝象夫日月。
kyomeishusei2015.00014.1.2： 心忽穆而願忠、然壅塞而不a(iat)泄。
kyomeishusei2015.00014.1.3： 懷縻美之窮皚、外承驩之可說。
kyomeishusei2015.00014.1.4： 慕窔佻之靈景、願永思而毋a(iat)絕。
kyomeishusei2015.00015.1.1： 内請質以昭明、光輝象夫日月。
kyomeishusei2015.00015.1.2： 心忽穆而願忠、然壅塞而不a(at)徹。
kyomeishusei2015.00016.1.1： 絜精白而事君、惌沄驩之弇明。
kyomeishusei2015.00016.1.2： 彶玄錫之流澤、恐疎遠而日a(uɑŋ)忘。
kyomeishusei2015.00016.1.3： 懷糜美之窮皚、外承驩之可說。
kyomeishusei2015.00016.1.4： 慕窔佻之靈景、願永思而毋b(iat)絕。
kyomeishusei2015.00017.1.1： 常樂未央。
kyomeishusei2015.00017.1.2： 長毌相a(uɑŋ)忘。
kyomeishusei2015.00018.1.1： 長樂未央。
kyomeishusei2015.00018.1.2： 長毌相a(uɑŋ)忘。
kyomeishusei2015.00019.1.1： 長樂未央。
kyomeishusei2015.00019.1.2： 願毌相a(uɑŋ)忘。
kyomeishusei2015.00020.1.1： 願長相思、久毌見忘。
kyomeishusei2015.00021.1.1： 願長相思、幸毌見忘。
kyomeishusei2015.00022.1.1： 心思美人、毋忘大王。
kyomeishusei2015.00023.1.1： 心思君王。
kyomeishusei2015.00023.1.2： 天上見a(ɑŋ)長。
kyomeishusei2015.00024.1.1： 天上見王。
kyomeishusei2015.00024.1.2： 長毌見a(uɑŋ)忘。
kyomeishusei2015.00025.1.1： 心思君王。
kyomeishusei2015.00025.1.2： 長樂未a(iɑŋ)央。
kyomeishusei2015.00026.1.1： 如日之光。
kyomeishusei2015.00026.1.2： 所居君a(uɑŋ)王。
kyomeishusei2015.00027.1.1： 長毌相忘。
kyomeishusei2015.00027.1.2： 時來何a(ɑŋ)傷。
kyomeishusei2015.00028.1.1： 長勿相忘。
kyomeishusei2015.00028.1.2： 君來何a(ɑŋ)傷。
kyomeishusei2015.00029.1.1： 與天相壽、與地相長。
kyomeishusei2015.00029.1.2： 富貴如言、長毋相a(uɑŋ)忘。
kyomeishusei2015.00030.1.1： 與天無極、與地相長。
kyomeishusei2015.00030.1.2： 驩樂如言、長毋相a(uɑŋ)忘。
kyomeishusei2015.00031.1.1： 與天無極、與地相長。
kyomeishusei2015.00031.1.2： 史人富貴、長毋相a(uɑŋ)忘。
kyomeishusei2015.00032.1.1： 與天無極、與美相長。
kyomeishusei2015.00032.1.2： 驩樂如志、長毋相a(uɑŋ)忘。
kyomeishusei2015.00033.1.1： 與美相長。
kyomeishusei2015.00033.1.2： 常貴未a(iɑŋ)央。
kyomeishusei2015.00034.1.1： 玄金之淸。
kyomeishusei2015.00034.1.2： 可見信a(eŋ)誠。
kyomeishusei2015.00035.1.1： 長相思、毋相忘。
kyomeishusei2015.00035.1.2： 常貴富、樂未a(iɑŋ)央。
kyomeishusei2015.00036.1.1： 常相思、毋相忘。
kyomeishusei2015.00036.1.2： 常貴富、樂未a(iɑŋ)央。
kyomeishusei2015.00037.1.1： 常相思、不相忘。
kyomeishusei2015.00037.1.2： 常貴富、樂未a(iɑŋ)央。
kyomeishusei2015.00038.1.1： 常相思、勿相忘。
kyomeishusei2015.00038.1.2： 常貴富、樂未a(iɑŋ)央。
kyomeishusei2015.00039.1.1： 大富昌。
kyomeishusei2015.00039.1.2： 樂未a(iɑŋ)央。
kyomeishusei2015.00039.1.3： 千萬歲、冝弟兄。
kyomeishusei2015.00040.1.1： 常與君、相讙幸。
kyomeishusei2015.00040.1.2： 毋相a(uɑŋ)忘。
kyomeishusei2015.00040.1.3： 莫遠望。
kyomeishusei2015.00041.1.1： 常貴樂未央。
kyomeishusei2015.00041.1.2： 毌相a(uɑŋ)忘。
kyomeishusei2015.00042.1.1： 富貴安樂未央。
kyomeishusei2015.00042.1.2： 長毌相a(uɑŋ)忘。
kyomeishusei2015.00043.1.1： 久不見、侍前俙。
kyomeishusei2015.00043.1.2： 秋風起、豫志a(ɨ)悲。
kyomeishusei2015.00044.1.1： 久不見、侍前俙。
kyomeishusei2015.00044.1.2： 君行卒、豫志a(ɨ)悲。
kyomeishusei2015.00045.1.1： 道路遠、侍前希。
kyomeishusei2015.00045.1.2： 昔同起、豫志a(ɨ)悲。
kyomeishusei2015.00046.1.1： 長貴富。
kyomeishusei2015.00046.1.2： 樂毋a(ə)事。
kyomeishusei2015.00046.1.3： 日有憙。
kyomeishusei2015.00046.1.4： 常得所b(iə)喜。
kyomeishusei2015.00046.1.5： 冝酒食。
kyomeishusei2015.00047.1.1： 長貴富。
kyomeishusei2015.00047.1.2： 樂毋a(ə)事。
kyomeishusei2015.00047.1.3： 日有憙。
kyomeishusei2015.00047.1.4： 冝酒b(iə)食。
kyomeishusei2015.00048.1.1： 長貴富。
kyomeishusei2015.00048.1.2： 樂毋a(ə)事。
kyomeishusei2015.00048.1.3： 日有憙。
kyomeishusei2015.00048.1.4： 不相b(uɑŋ)忘。
kyomeishusei2015.00049.1.1： 長貴富。
kyomeishusei2015.00049.1.2： 樂毋a(ə)事。
kyomeishusei2015.00049.1.3： 冝酒食。
kyomeishusei2015.00050.1.1： 常貴富。
kyomeishusei2015.00050.1.2： 樂毋a(ə)事。
kyomeishusei2015.00050.1.3： 日有憙。
kyomeishusei2015.00050.1.4： 得所b(iə)喜。
kyomeishusei2015.00051.1.1： 常貴富。
kyomeishusei2015.00051.1.2： 樂毋a(ə)事。
kyomeishusei2015.00051.1.3： 日有憙。
kyomeishusei2015.00051.1.4： 美人a(ə)侍。
kyomeishusei2015.00052.1.1： 鏡氣錆明。
kyomeishusei2015.00052.1.2： 服者君a(iɑŋ)卿。
kyomeishusei2015.00052.1.3： 延年益壽、安樂未央。
kyomeishusei2015.00053.1.1： □□精明。
kyomeishusei2015.00053.1.2： □冝君a(iɑŋ)卿。
kyomeishusei2015.00053.1.3： 千秋萬□、常樂未央。
kyomeishusei2015.00054.1.1： 垠錫有齋、與眾異容。
kyomeishusei2015.00054.1.2： 爲靜精實、請質淸a(iaŋ)明。
kyomeishusei2015.00055.1.1： 千秋萬歲、長樂未央。
kyomeishusei2015.00055.1.2： 結心相思、幸毌相a(uɑŋ)忘。
kyomeishusei2015.00056.1.1： 大上富貴、長樂未央。
kyomeishusei2015.00056.1.2： 延年益壽、幸毌見a(uɑŋ)忘。
kyomeishusei2015.00057.1.1： □□□□、服者君卿。
kyomeishusei2015.00057.1.2： 延年益壽、安樂未a(iɑŋ)央。
kyomeishusei2015.00058.1.1： 見日光。
kyomeishusei2015.00058.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00058.1.3： 服者君卿。
kyomeishusei2015.00058.1.4： 延年益壽、敬毌相b(uɑŋ)忘。
kyomeishusei2015.00058.1.5： 幸至未央。
kyomeishusei2015.00059.1.1： 見日之光。
kyomeishusei2015.00059.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00059.1.3： 服者君王。
kyomeishusei2015.00059.1.4： 千秋萬歲、長樂未b(iɑŋ)央。
kyomeishusei2015.00060.1.1： 見日之光。
kyomeishusei2015.00060.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00060.1.3： 千秋萬歲、長樂未央。
kyomeishusei2015.00061.1.1： 見日之光。
kyomeishusei2015.00061.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00061.1.3： 服者君卿。
kyomeishusei2015.00061.1.4： 所言必a(ɑŋ)當。
kyomeishusei2015.00062.1.1： 見日之光。
kyomeishusei2015.00062.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00062.1.3： 而昭矦王。
kyomeishusei2015.00062.1.4： 長生未b(iɑŋ)央。
kyomeishusei2015.00063.1.1： 見日之光。
kyomeishusei2015.00063.1.2： □者君a(iɑŋ)卿。
kyomeishusei2015.00063.1.3： 千秋萬歲、長□□□。
kyomeishusei2015.00064.1.1： 見□□□。
kyomeishusei2015.00064.1.2： □□大a(ɑŋ)陽。
kyomeishusei2015.00064.1.3： 服者君卿。
kyomeishusei2015.00064.1.4： 所言□□。
kyomeishusei2015.00065.1.1： 見日之光。
kyomeishusei2015.00065.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00065.1.3： 用者君卿。
kyomeishusei2015.00066.1.1： 見日之光。
kyomeishusei2015.00066.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00066.1.3： 用者君卿。
kyomeishusei2015.00067.1.1： 見日之光。
kyomeishusei2015.00067.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00067.1.3： 服者君王。
kyomeishusei2015.00068.1.1： 見日之光。
kyomeishusei2015.00068.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00068.1.3： 所言必當。
kyomeishusei2015.00069.1.1： 見日之陽。
kyomeishusei2015.00069.1.2： 天下大a(ɑŋ)光。
kyomeishusei2015.00069.1.3： 長毌相忘。
kyomeishusei2015.00070.1.1： 見日之光。
kyomeishusei2015.00070.1.2： 長樂未a(iɑŋ)央。
kyomeishusei2015.00071.1.1： 見日之光。
kyomeishusei2015.00071.1.2： 所言必a(ɑŋ)當。
kyomeishusei2015.00072.1.1： 見日之光。
kyomeishusei2015.00072.1.2： 美人在a(ɑŋ)旁。
kyomeishusei2015.00073.1.1： 見日之光。
kyomeishusei2015.00073.1.2： 時來何a(ɑŋ)傷。
kyomeishusei2015.00074.1.1： 天下大陽。
kyomeishusei2015.00074.1.2： 幸毌見a(uɑŋ)忘。
kyomeishusei2015.00075.1.1： 見日之光。
kyomeishusei2015.00075.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00076.1.1： 見日之光。
kyomeishusei2015.00076.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00077.1.1： 見日之光。
kyomeishusei2015.00077.1.2： 長毌相a(uɑŋ)忘。
kyomeishusei2015.00078.1.1： 見日之光。
kyomeishusei2015.00078.1.2： 長不相a(uɑŋ)忘。
kyomeishusei2015.00079.1.1： 見日之光。
kyomeishusei2015.00079.1.2： 長夫相a(uɑŋ)忘。
kyomeishusei2015.00080.1.1： 見日之光。
kyomeishusei2015.00080.1.2： 長毌見a(uɑŋ)忘。
kyomeishusei2015.00081.1.1： 久不相見、長毌相忘。
kyomeishusei2015.00082.1.1： 日出大明。
kyomeishusei2015.00082.1.2： 天下大a(ɑŋ)陽。
kyomeishusei2015.00083.1.1： 日出大明。
kyomeishusei2015.00083.1.2： 長毌相a(uɑŋ)忘。
kyomeishusei2015.00084.1.1： 見日之光。
